t;x;vx
0.000000E0;3.600962E-3;
3.332222E-2;6.833464E-3;1.032838E-1
6.664444E-2;1.048425E-2;1.230068E-1
9.996667E-2;1.503118E-2;1.480595E-1
1.332889E-1;2.035160E-2;1.680476E-1
1.666111E-1;2.623062E-2;3.492173E-1
1.999333E-1;4.362499E-2;3.747717E-1
2.332556E-1;5.120707E-2;1.958237E-1
2.665778E-1;5.667555E-2;1.323641E-1
2.999000E-1;6.002840E-2;1.295976E-1
3.332222E-1;6.531250E-2;1.405409E-1
3.666556E-1;6.941029E-2;1.340845E-1
3.999778E-1;7.426339E-2;1.260946E-1
4.333000E-1;7.781379E-2;1.210338E-1
4.666222E-1;8.232962E-2;1.215592E-1
4.999444E-1;8.591504E-2;1.209854E-1
5.332667E-1;9.039263E-2;1.373309E-1
5.665889E-1;9.506738E-2;1.346835E-1
5.999111E-1;9.936854E-2;1.360813E-1
6.332333E-1;1.041364E-1;1.410640E-1
6.665556E-1;1.087697E-1;1.426562E-1
6.998778E-1;1.136437E-1;1.510049E-1
7.332000E-1;1.188333E-1;1.587317E-1
7.665222E-1;1.242223E-1;1.598882E-1
7.998444E-1;1.294890E-1;1.551374E-1
8.331667E-1;1.345613E-1;1.615449E-1
8.664889E-1;1.402550E-1;1.703626E-1
8.998111E-1;1.459150E-1;1.630898E-1
9.331333E-1;1.511241E-1;1.632686E-1
9.664556E-1;1.567960E-1;1.623029E-1
9.997778E-1;1.619407E-1;1.629357E-1
1.033100E0;1.676547E-1;1.593502E-1
1.066533E0;1.725782E-1;1.564414E-1
1.099856E0;1.780981E-1;1.547950E-1
1.133178E0;1.828944E-1;1.283056E-1
1.166500E0;1.866489E-1;1.141334E-1
1.199822E0;1.905008E-1;1.082120E-1
1.233144E0;1.938607E-1;9.424307E-2
1.266467E0;1.967815E-1;8.079533E-2
1.299789E0;1.992452E-1;7.909009E-2
1.333111E0;2.020525E-1;7.603643E-2
1.366433E0;2.043126E-1;6.211412E-2
1.399756E0;2.061920E-1;6.109443E-2
1.433078E0;2.083842E-1;5.851038E-2
1.466400E0;2.100914E-1;5.507182E-2
1.499722E0;2.120545E-1;5.166503E-2
1.533044E0;2.135346E-1;4.580406E-2
